Banco;Técnica;k-anonimato;k mínimo;l-diversidade;l mínimo;NCP;Avaliação NCP;Similaridade;Avaliação Similaridade
Student_Depression_Dataset_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.1876;Baixo risco
Student_Depression_Dataset_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.1481;Baixo risco
Student_Depression_Dataset_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.1083;Baixo risco
telco_customer_churn_dp.xlsx;DP;;;;;0.1721;Baixa perda;;Não aplicável (DP)
telco_customer_churn_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0682;Baixo risco
telco_customer_churn_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0305;Baixo risco
telco_customer_churn_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0066;Baixo risco
Term_Deposit_Prediction_dp.xlsx;DP;;;;;0.0948;Baixa perda;;Não aplicável (DP)
Term_Deposit_Prediction_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0;Baixo risco
Term_Deposit_Prediction_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0;Baixo risco
Term_Deposit_Prediction_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0;Baixo risco
TravelInsurancePrediction_dp.xlsx;DP;;;;;0.0;Baixa perda;;Não aplicável (DP)
TravelInsurancePrediction_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0;Baixo risco
TravelInsurancePrediction_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0;Baixo risco
TravelInsurancePrediction_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0;Baixo risco
