Banco,Tipo,RandomForest_F1_Treino,RandomForest_F1_Teste
diabetes_data_dp_bootstrap_2.xlsx,DP,1.0,0.7717206527604402
diabetes_data_dp_bootstrap_3.xlsx,DP,1.0,0.8057764138519715
diabetes_data_dp_bootstrap_4.xlsx,DP,1.0,0.7665249880866309
diabetes_data_dp_bootstrap_5.xlsx,DP,1.0,0.7827735909410689
diabetes_data_dp_bootstrap_6.xlsx,DP,1.0,0.7989888017719846
diabetes_data_dp_bootstrap_7.xlsx,DP,1.0,0.764919441981875
diabetes_data_k_anonimizado_codificado_bootstrap_1.xlsx,K-Anonimizado,0.9686592904788063,0.7030911859634076
diabetes_data_k_anonimizado_codificado_bootstrap_2.xlsx,K-Anonimizado,0.9581902531219099,0.7521681893837139
diabetes_data_k_anonimizado_codificado_bootstrap_3.xlsx,K-Anonimizado,0.9654160042013068,0.7321244910251778
diabetes_data_k_anonimizado_codificado_bootstrap_4.xlsx,K-Anonimizado,0.9740088071206852,0.7479454801394688
diabetes_data_k_anonimizado_codificado_bootstrap_5.xlsx,K-Anonimizado,0.9689083725503178,0.7505120416959081
diabetes_data_k_anonimizado_codificado_bootstrap_6.xlsx,K-Anonimizado,0.9697222552639383,0.7494520606273192
diabetes_data_k_anonimizado_codificado_bootstrap_7.xlsx,K-Anonimizado,0.9686279826420966,0.7196248404549983
diabetes_data_l_diverso_codificado_bootstrap_1.xlsx,L-Diverso,0.9730557685187753,0.7251438421412753
diabetes_data_l_diverso_codificado_bootstrap_2.xlsx,L-Diverso,0.9682005399827375,0.7450488981462621
diabetes_data_l_diverso_codificado_bootstrap_3.xlsx,L-Diverso,0.9773610893668753,0.7090746620773167
diabetes_data_l_diverso_codificado_bootstrap_4.xlsx,L-Diverso,0.9784491673133605,0.7657561634878558
diabetes_data_l_diverso_codificado_bootstrap_5.xlsx,L-Diverso,0.9725221384244331,0.7010215092733154
diabetes_data_l_diverso_codificado_bootstrap_6.xlsx,L-Diverso,0.9738651291259768,0.7585023361117195
diabetes_data_l_diverso_codificado_bootstrap_7.xlsx,L-Diverso,0.9773722772967581,0.7364628905535342
diabetes_data_t_close_codificado_bootstrap_1.xlsx,T-Close,0.9632606604361659,0.8210412661881392
diabetes_data_t_close_codificado_bootstrap_2.xlsx,T-Close,0.9564338077645843,0.8247760114135005
diabetes_data_t_close_codificado_bootstrap_3.xlsx,T-Close,0.9519912480890437,0.7933699032311312
diabetes_data_t_close_codificado_bootstrap_4.xlsx,T-Close,0.9484460007267185,0.7620868012120225
diabetes_data_t_close_codificado_bootstrap_5.xlsx,T-Close,0.9455480594005641,0.7881087481262409
diabetes_data_t_close_codificado_bootstrap_6.xlsx,T-Close,0.9481260965429927,0.7939601078349204
diabetes_data_t_close_codificado_bootstrap_7.xlsx,T-Close,0.9487218843137517,0.7539296119926339
diabetes_dp_bootstrap_1.xlsx,DP,1.0,0.8472097645306228
diabetes_dp_bootstrap_2.xlsx,DP,1.0,0.8507744739012338
diabetes_dp_bootstrap_3.xlsx,DP,1.0,0.8512588895041542
diabetes_dp_bootstrap_4.xlsx,DP,1.0,0.8459008256070935
diabetes_dp_bootstrap_5.xlsx,DP,1.0,0.8496615756337231
diabetes_dp_bootstrap_6.xlsx,DP,1.0,0.8566121017833721
diabetes_dp_bootstrap_7.xlsx,DP,1.0,0.8495228201774336
diabetes_k_anonimizado_codificado_bootstrap_1.xlsx,K-Anonimizado,0.9925567732449988,0.9039691562927592
diabetes_k_anonimizado_codificado_bootstrap_2.xlsx,K-Anonimizado,0.9913337083376851,0.9118757613200185
diabetes_k_anonimizado_codificado_bootstrap_3.xlsx,K-Anonimizado,0.9923821358780657,0.9016784698291016
diabetes_k_anonimizado_codificado_bootstrap_4.xlsx,K-Anonimizado,0.9934247176404354,0.8976822858921099
diabetes_k_anonimizado_codificado_bootstrap_5.xlsx,K-Anonimizado,0.9894443887338165,0.9059655959203561
diabetes_k_anonimizado_codificado_bootstrap_6.xlsx,K-Anonimizado,0.9939366548063286,0.9132268631249627
diabetes_k_anonimizado_codificado_bootstrap_7.xlsx,K-Anonimizado,0.9920267267924798,0.9078286925031132
diabetes_l_diverso_codificado_bootstrap_1.xlsx,L-Diverso,0.9883650366810268,0.8066948702880987
diabetes_l_diverso_codificado_bootstrap_2.xlsx,L-Diverso,0.9961217876211569,0.8591885304980531
diabetes_l_diverso_codificado_bootstrap_3.xlsx,L-Diverso,0.9892584324239969,0.8258707233873889
diabetes_l_diverso_codificado_bootstrap_4.xlsx,L-Diverso,0.9871715374993659,0.8376877518574437
diabetes_l_diverso_codificado_bootstrap_5.xlsx,L-Diverso,0.994034016199211,0.8737260487419005
diabetes_l_diverso_codificado_bootstrap_6.xlsx,L-Diverso,0.9850810772789854,0.8306623548951718
diabetes_l_diverso_codificado_bootstrap_7.xlsx,L-Diverso,0.9880655547176082,0.8343776902808651
diabetes_prediction_dataset_bootstrap_1.xlsx,Original,0.9996023211529138,0.9860627662994468
diabetes_prediction_dataset_bootstrap_2.xlsx,Original,0.9994921758775058,0.9857153468352747
diabetes_prediction_dataset_bootstrap_3.xlsx,Original,0.9995922826836463,0.98638536193546
diabetes_prediction_dataset_bootstrap_4.xlsx,Original,0.999539718873485,0.9859788871435746
diabetes_prediction_dataset_bootstrap_5.xlsx,Original,0.9996223173641517,0.9857729843085987
diabetes_prediction_dataset_bootstrap_6.xlsx,Original,0.9996123239248436,0.9862489257400645
diabetes_prediction_dataset_bootstrap_7.xlsx,Original,0.9994521221523408,0.9858850871414688
